Entry,Accession,Trait,Latitude,Longitude,Group,Photoperiod,Value
M. sinensis 'PMS-130',PMS-130,50% head,33.45548333,105.1373833,Yangtze-Qinling Msi,15,140
M. sinensis 'PMS-159',PMS-159,50% head,34.12948333,111.04395,Yangtze-Qinling Msi,15,110
M. sinensis 'PMS-161',PMS-161,50% head,35.72196667,112.3247667,Yangtze-Qinling Msi,15,144
M. sinensis 'PMS-164',PMS-164,50% head,37.34001667,114.2810333,Yangtze-Qinling Msi,15,139.3333333
M. sinensis 'PMS-204',PMS-204,50% head,31.70131667,114.8741167,Yangtze-Qinling Msi,15,182
M. sinensis 'PMS-226',PMS-226,50% head,26.62055,106.75145,Sichuan Msi,15,215
M. sinensis 'PMS-306',PMS-306,50% head,29.89176667,119.8417167,Yangtze-Qinling Msi,15,189
M. sinensis 'PMS-314',PMS-314,50% head,26.52793333,119.6324333,Yangtze-Qinling Msi,15,173.3333333
M. sinensis 'PMS-347',PMS-347,50% head,24.16798333,115.8838667,SE China Msi,15,
M. sinensis 'PMS-359',PMS-359,50% head,22.91336667,112.3369667,SE China Msi,15,
M. sinensis 'PMS-375',PMS-375,50% head,19.63043333,110.2908833,SE China Msi,15,
M. sinensis 'PMS-382',PMS-382,50% head,18.90558333,109.5137833,SE China Msi,15,
M. sinensis 'PMS-436',PMS-436,50% head,41.31701667,123.7384,"Korea, N China Msi",15,124.3333333
M. sinensis 'PMS-438',PMS-438,50% head,41.32883333,123.6902667,"Korea, N China Msi",15,102
M. sinensis 'Sugadaira 2.4',UI11-00002.4,50% head,36,138.12,C Japan Msi,15,108.6666667
M. sinensis 'Teshio 3.3',UI11-00003.3,50% head,44.91666667,141.9833333,N Japan Msi,15,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,50% head,40.21601,140.22625,N Japan Msi,15,142
M. sinensis 'Uruma-1b',OKA-2010-002,50% head,26.340312,127.854968,SE China Msi,15,
M. sinensis var. condensatus 'Cabaret',UI10-00012,50% head,,,C Japan Msi,15,
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,50% head,30.87438333,120.1449,,15,218.6666667
M. ×giganteus 'Illinois',UI10-00107,Culm length,,,,10,84.65555556
