Entry,Accession,Trait,Latitude,Longitude,Group,Photoperiod,Value
M. floridulus  'NG77-022',PI417947,First flower,-3.55,143.6333333,SE China Msi,12.5,95
M. floridulus 'US56-0022-03',PI230189,First flower,-20.91,165.33,SE China Msi,12.5,114.3333333
M. sacchariflorus 'Hortico',UI10-00008,First flower,,,NE China/Korea/Russia 2x Msa,12.5,42
M. sinensis 'EBI-2008-32a',EBI-2008-32a,First flower,43.3931,141.43225,N Japan Msi,12.5,
M. sinensis 'EBI-2008-51c',EBI-2008-51c,First flower,43.44818333,142.64555,N Japan Msi,12.5,42
M. sinensis 'Flamingo',UI10-00041,First flower,,,C Japan Msi,12.5,
M. sinensis 'Gracillimus',UI10-00048,First flower,,,S Japan Msi,12.5,
M. sinensis 'Koike-11a',Koike-11a,First flower,38,138.36,C Japan Msi,12.5,
M. sinensis 'Koike-12b',Koike-12b,First flower,36.7,137.19,C Japan Msi,12.5,
M. sinensis 'Koike-21c',Koike-21c,First flower,32.16,130.39,S Japan Msi,12.5,60.66666667
M. sinensis 'Miyazaki 1.5',UI11-00001.5,First flower,31.83,131.42,S Japan Msi,12.5,60.66666667
M. sinensis 'Nippon',UI10-00074,First flower,,,S Japan Msi,12.5,56
M. sinensis 'Onna-1',OKA-2010-001,First flower,26.44585,127.806144,SE China Msi,12.5,
M. sinensis 'PMS-130',PMS-130,First flower,33.45548333,105.1373833,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-159',PMS-159,First flower,34.12948333,111.04395,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-161',PMS-161,First flower,35.72196667,112.3247667,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-164',PMS-164,First flower,37.34001667,114.2810333,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-204',PMS-204,First flower,31.70131667,114.8741167,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-226',PMS-226,First flower,26.62055,106.75145,Sichuan Msi,12.5,76.33333333
M. sinensis 'PMS-306',PMS-306,First flower,29.89176667,119.8417167,Yangtze-Qinling Msi,12.5,84
M. sinensis 'PMS-314',PMS-314,First flower,26.52793333,119.6324333,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-347',PMS-347,First flower,24.16798333,115.8838667,SE China Msi,12.5,91
M. sinensis 'PMS-359',PMS-359,First flower,22.91336667,112.3369667,SE China Msi,12.5,80.66666667
M. sinensis 'PMS-375',PMS-375,First flower,19.63043333,110.2908833,SE China Msi,12.5,141.6666667
M. sinensis 'PMS-382',PMS-382,First flower,18.90558333,109.5137833,SE China Msi,12.5,183.6666667
M. sinensis 'PMS-436',PMS-436,First flower,41.31701667,123.7384,"Korea, N China Msi",12.5,
M. sinensis 'PMS-438',PMS-438,First flower,41.32883333,123.6902667,"Korea, N China Msi",12.5,
M. sinensis 'Sugadaira 2.4',UI11-00002.4,First flower,36,138.12,C Japan Msi,12.5,
M. sinensis 'Teshio 3.3',UI11-00003.3,First flower,44.91666667,141.9833333,N Japan Msi,12.5,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,First flower,40.21601,140.22625,N Japan Msi,12.5,
M. sinensis 'Uruma-1b',OKA-2010-002,First flower,26.340312,127.854968,SE China Msi,12.5,
M. sinensis var. condensatus 'Cabaret',UI10-00012,First flower,,,C Japan Msi,12.5,108.5
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,First flower,30.87438333,120.1449,,12.5,
M. ×giganteus 'Illinois',UI10-00107,First flower,,,,15,140
M. floridulus  'NG77-022',PI417947,First flower,-3.55,143.6333333,SE China Msi,15,135
M. floridulus 'US56-0022-03',PI230189,First flower,-20.91,165.33,SE China Msi,15,
M. sacchariflorus 'Hortico',UI10-00008,First flower,,,NE China/Korea/Russia 2x Msa,15,74.66666667
M. sinensis 'EBI-2008-32a',EBI-2008-32a,First flower,43.3931,141.43225,N Japan Msi,15,83
M. sinensis 'EBI-2008-51c',EBI-2008-51c,First flower,43.44818333,142.64555,N Japan Msi,15,67
M. sinensis 'Flamingo',UI10-00041,First flower,,,C Japan Msi,15,121
M. sinensis 'Gracillimus',UI10-00048,First flower,,,S Japan Msi,15,194
M. sinensis 'Koike-11a',Koike-11a,First flower,38,138.36,C Japan Msi,15,126.3333333
M. sinensis 'Koike-12b',Koike-12b,First flower,36.7,137.19,C Japan Msi,15,130
M. sinensis 'Koike-21c',Koike-21c,First flower,32.16,130.39,S Japan Msi,15,164.3333333
M. sinensis 'Miyazaki 1.5',UI11-00001.5,First flower,31.83,131.42,S Japan Msi,15,167.3333333
M. sinensis 'Nippon',UI10-00074,First flower,,,S Japan Msi,15,73.66666667
M. sinensis 'Onna-1',OKA-2010-001,First flower,26.44585,127.806144,SE China Msi,15,274
M. sinensis 'PMS-130',PMS-130,First flower,33.45548333,105.1373833,Yangtze-Qinling Msi,15,119.3333333
M. sinensis 'PMS-159',PMS-159,First flower,34.12948333,111.04395,Yangtze-Qinling Msi,15,96
M. sinensis 'PMS-161',PMS-161,First flower,35.72196667,112.3247667,Yangtze-Qinling Msi,15,132.6666667
M. sinensis 'PMS-164',PMS-164,First flower,37.34001667,114.2810333,Yangtze-Qinling Msi,15,130
M. sinensis 'PMS-204',PMS-204,First flower,31.70131667,114.8741167,Yangtze-Qinling Msi,15,169.6666667
M. sinensis 'PMS-226',PMS-226,First flower,26.62055,106.75145,Sichuan Msi,15,189.3333333
M. sinensis 'PMS-306',PMS-306,First flower,29.89176667,119.8417167,Yangtze-Qinling Msi,15,173.3333333
M. sinensis 'PMS-314',PMS-314,First flower,26.52793333,119.6324333,Yangtze-Qinling Msi,15,166.3333333
M. sinensis 'PMS-347',PMS-347,First flower,24.16798333,115.8838667,SE China Msi,15,246.6666667
M. sinensis 'PMS-359',PMS-359,First flower,22.91336667,112.3369667,SE China Msi,15,179
M. sinensis 'PMS-375',PMS-375,First flower,19.63043333,110.2908833,SE China Msi,15,
M. sinensis 'PMS-382',PMS-382,First flower,18.90558333,109.5137833,SE China Msi,15,
M. sinensis 'PMS-436',PMS-436,First flower,41.31701667,123.7384,"Korea, N China Msi",15,115
M. sinensis 'PMS-438',PMS-438,First flower,41.32883333,123.6902667,"Korea, N China Msi",15,71.66666667
M. sinensis 'Sugadaira 2.4',UI11-00002.4,First flower,36,138.12,C Japan Msi,15,96.33333333
M. sinensis 'Teshio 3.3',UI11-00003.3,First flower,44.91666667,141.9833333,N Japan Msi,15,66.33333333
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,First flower,40.21601,140.22625,N Japan Msi,15,105
M. sinensis 'Uruma-1b',OKA-2010-002,First flower,26.340312,127.854968,SE China Msi,15,360
M. sinensis var. condensatus 'Cabaret',UI10-00012,First flower,,,C Japan Msi,15,229
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,First flower,30.87438333,120.1449,,15,211.6666667
M. ×giganteus 'Illinois',UI10-00107,First head,,,,10,81
M. floridulus  'NG77-022',PI417947,First head,-3.55,143.6333333,SE China Msi,10,
M. floridulus 'US56-0022-03',PI230189,First head,-20.91,165.33,SE China Msi,10,
M. sacchariflorus 'Hortico',UI10-00008,First head,,,NE China/Korea/Russia 2x Msa,10,
M. sinensis 'EBI-2008-32a',EBI-2008-32a,First head,43.3931,141.43225,N Japan Msi,10,
M. sinensis 'EBI-2008-51c',EBI-2008-51c,First head,43.44818333,142.64555,N Japan Msi,10,
M. sinensis 'Flamingo',UI10-00041,First head,,,C Japan Msi,10,
M. sinensis 'Gracillimus',UI10-00048,First head,,,S Japan Msi,10,
M. sinensis 'Koike-11a',Koike-11a,First head,38,138.36,C Japan Msi,10,
M. sinensis 'Koike-12b',Koike-12b,First head,36.7,137.19,C Japan Msi,10,
M. sinensis 'Koike-21c',Koike-21c,First head,32.16,130.39,S Japan Msi,10,44
M. sinensis 'Miyazaki 1.5',UI11-00001.5,First head,31.83,131.42,S Japan Msi,10,44
M. sinensis 'Nippon',UI10-00074,First head,,,S Japan Msi,10,26
M. sinensis 'Onna-1',OKA-2010-001,First head,26.44585,127.806144,SE China Msi,10,
M. sinensis 'PMS-130',PMS-130,First head,33.45548333,105.1373833,Yangtze-Qinling Msi,10,35
M. sinensis 'PMS-159',PMS-159,First head,34.12948333,111.04395,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-161',PMS-161,First head,35.72196667,112.3247667,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-164',PMS-164,First head,37.34001667,114.2810333,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-204',PMS-204,First head,31.70131667,114.8741167,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-226',PMS-226,First head,26.62055,106.75145,Sichuan Msi,10,53.66666667
M. sinensis 'PMS-306',PMS-306,First head,29.89176667,119.8417167,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-314',PMS-314,First head,26.52793333,119.6324333,Yangtze-Qinling Msi,10,
M. sinensis 'PMS-347',PMS-347,First head,24.16798333,115.8838667,SE China Msi,10,77.5
M. sinensis 'PMS-359',PMS-359,First head,22.91336667,112.3369667,SE China Msi,10,56
M. sinensis 'PMS-375',PMS-375,First head,19.63043333,110.2908833,SE China Msi,10,91
M. sinensis 'PMS-382',PMS-382,First head,18.90558333,109.5137833,SE China Msi,10,91
M. sinensis 'PMS-436',PMS-436,First head,41.31701667,123.7384,"Korea, N China Msi",10,
M. sinensis 'PMS-438',PMS-438,First head,41.32883333,123.6902667,"Korea, N China Msi",10,
M. sinensis 'Sugadaira 2.4',UI11-00002.4,First head,36,138.12,C Japan Msi,10,
M. sinensis 'Teshio 3.3',UI11-00003.3,First head,44.91666667,141.9833333,N Japan Msi,10,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,First head,40.21601,140.22625,N Japan Msi,10,
M. sinensis 'Uruma-1b',OKA-2010-002,First head,26.340312,127.854968,SE China Msi,10,
M. sinensis var. condensatus 'Cabaret',UI10-00012,First head,,,C Japan Msi,10,
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,First head,30.87438333,120.1449,,10,
M. ×giganteus 'Illinois',UI10-00107,First head,,,,12.5,69
M. floridulus  'NG77-022',PI417947,First head,-3.55,143.6333333,SE China Msi,12.5,95
M. floridulus 'US56-0022-03',PI230189,First head,-20.91,165.33,SE China Msi,12.5,116.6666667
M. sacchariflorus 'Hortico',UI10-00008,First head,,,NE China/Korea/Russia 2x Msa,12.5,37.33333333
M. sinensis 'EBI-2008-32a',EBI-2008-32a,First head,43.3931,141.43225,N Japan Msi,12.5,
M. sinensis 'EBI-2008-51c',EBI-2008-51c,First head,43.44818333,142.64555,N Japan Msi,12.5,35
M. sinensis 'Flamingo',UI10-00041,First head,,,C Japan Msi,12.5,
M. sinensis 'Gracillimus',UI10-00048,First head,,,S Japan Msi,12.5,
M. sinensis 'Koike-11a',Koike-11a,First head,38,138.36,C Japan Msi,12.5,
M. sinensis 'Koike-12b',Koike-12b,First head,36.7,137.19,C Japan Msi,12.5,
M. sinensis 'Koike-21c',Koike-21c,First head,32.16,130.39,S Japan Msi,12.5,58.33333333
M. sinensis 'Miyazaki 1.5',UI11-00001.5,First head,31.83,131.42,S Japan Msi,12.5,58.33333333
M. sinensis 'Nippon',UI10-00074,First head,,,S Japan Msi,12.5,56
M. sinensis 'Onna-1',OKA-2010-001,First head,26.44585,127.806144,SE China Msi,12.5,
M. sinensis 'PMS-130',PMS-130,First head,33.45548333,105.1373833,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-159',PMS-159,First head,34.12948333,111.04395,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-161',PMS-161,First head,35.72196667,112.3247667,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-164',PMS-164,First head,37.34001667,114.2810333,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-204',PMS-204,First head,31.70131667,114.8741167,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-226',PMS-226,First head,26.62055,106.75145,Sichuan Msi,12.5,61
M. sinensis 'PMS-306',PMS-306,First head,29.89176667,119.8417167,Yangtze-Qinling Msi,12.5,82
M. sinensis 'PMS-314',PMS-314,First head,26.52793333,119.6324333,Yangtze-Qinling Msi,12.5,
M. sinensis 'PMS-347',PMS-347,First head,24.16798333,115.8838667,SE China Msi,12.5,88
M. sinensis 'PMS-359',PMS-359,First head,22.91336667,112.3369667,SE China Msi,12.5,76.33333333
M. sinensis 'PMS-375',PMS-375,First head,19.63043333,110.2908833,SE China Msi,12.5,136.6666667
M. sinensis 'PMS-382',PMS-382,First head,18.90558333,109.5137833,SE China Msi,12.5,175.3333333
M. sinensis 'PMS-436',PMS-436,First head,41.31701667,123.7384,"Korea, N China Msi",12.5,
M. sinensis 'PMS-438',PMS-438,First head,41.32883333,123.6902667,"Korea, N China Msi",12.5,
M. sinensis 'Sugadaira 2.4',UI11-00002.4,First head,36,138.12,C Japan Msi,12.5,
M. sinensis 'Teshio 3.3',UI11-00003.3,First head,44.91666667,141.9833333,N Japan Msi,12.5,
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,First head,40.21601,140.22625,N Japan Msi,12.5,
M. sinensis 'Uruma-1b',OKA-2010-002,First head,26.340312,127.854968,SE China Msi,12.5,
M. sinensis var. condensatus 'Cabaret',UI10-00012,First head,,,C Japan Msi,12.5,108.5
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,First head,30.87438333,120.1449,,12.5,
M. ×giganteus 'Illinois',UI10-00107,First head,,,,15,124.3333333
M. floridulus  'NG77-022',PI417947,First head,-3.55,143.6333333,SE China Msi,15,132
M. floridulus 'US56-0022-03',PI230189,First head,-20.91,165.33,SE China Msi,15,
M. sacchariflorus 'Hortico',UI10-00008,First head,,,NE China/Korea/Russia 2x Msa,15,71.66666667
M. sinensis 'EBI-2008-32a',EBI-2008-32a,First head,43.3931,141.43225,N Japan Msi,15,78.33333333
M. sinensis 'EBI-2008-51c',EBI-2008-51c,First head,43.44818333,142.64555,N Japan Msi,15,65
M. sinensis 'Flamingo',UI10-00041,First head,,,C Japan Msi,15,111
M. sinensis 'Gracillimus',UI10-00048,First head,,,S Japan Msi,15,187.6666667
M. sinensis 'Koike-11a',Koike-11a,First head,38,138.36,C Japan Msi,15,124.3333333
M. sinensis 'Koike-12b',Koike-12b,First head,36.7,137.19,C Japan Msi,15,126
M. sinensis 'Koike-21c',Koike-21c,First head,32.16,130.39,S Japan Msi,15,158
M. sinensis 'Miyazaki 1.5',UI11-00001.5,First head,31.83,131.42,S Japan Msi,15,160.6666667
M. sinensis 'Nippon',UI10-00074,First head,,,S Japan Msi,15,69
M. sinensis 'Onna-1',OKA-2010-001,First head,26.44585,127.806144,SE China Msi,15,286.6666667
M. sinensis 'PMS-130',PMS-130,First head,33.45548333,105.1373833,Yangtze-Qinling Msi,15,113.6666667
M. sinensis 'PMS-159',PMS-159,First head,34.12948333,111.04395,Yangtze-Qinling Msi,15,91.33333333
M. sinensis 'PMS-161',PMS-161,First head,35.72196667,112.3247667,Yangtze-Qinling Msi,15,123
M. sinensis 'PMS-164',PMS-164,First head,37.34001667,114.2810333,Yangtze-Qinling Msi,15,136
M. sinensis 'PMS-204',PMS-204,First head,31.70131667,114.8741167,Yangtze-Qinling Msi,15,161.6666667
M. sinensis 'PMS-226',PMS-226,First head,26.62055,106.75145,Sichuan Msi,15,151
M. sinensis 'PMS-306',PMS-306,First head,29.89176667,119.8417167,Yangtze-Qinling Msi,15,168.3333333
M. sinensis 'PMS-314',PMS-314,First head,26.52793333,119.6324333,Yangtze-Qinling Msi,15,159.3333333
M. sinensis 'PMS-347',PMS-347,First head,24.16798333,115.8838667,SE China Msi,15,239.6666667
M. sinensis 'PMS-359',PMS-359,First head,22.91336667,112.3369667,SE China Msi,15,172
M. sinensis 'PMS-375',PMS-375,First head,19.63043333,110.2908833,SE China Msi,15,
M. sinensis 'PMS-382',PMS-382,First head,18.90558333,109.5137833,SE China Msi,15,
M. sinensis 'PMS-436',PMS-436,First head,41.31701667,123.7384,"Korea, N China Msi",15,112.3333333
M. sinensis 'PMS-438',PMS-438,First head,41.32883333,123.6902667,"Korea, N China Msi",15,67.66666667
M. sinensis 'Sugadaira 2.4',UI11-00002.4,First head,36,138.12,C Japan Msi,15,92.33333333
M. sinensis 'Teshio 3.3',UI11-00003.3,First head,44.91666667,141.9833333,N Japan Msi,15,62
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,First head,40.21601,140.22625,N Japan Msi,15,98
M. sinensis 'Uruma-1b',OKA-2010-002,First head,26.340312,127.854968,SE China Msi,15,357
M. sinensis var. condensatus 'Cabaret',UI10-00012,First head,,,C Japan Msi,15,224
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,First head,30.87438333,120.1449,,15,190.3333333
M. ×giganteus 'Illinois',UI10-00107,Leaf number,,,,10,32.22222222
M. floridulus  'NG77-022',PI417947,Leaf number,-3.55,143.6333333,SE China Msi,10,28
M. floridulus 'US56-0022-03',PI230189,Leaf number,-20.91,165.33,SE China Msi,10,20.77777778
M. sacchariflorus 'Hortico',UI10-00008,Leaf number,,,NE China/Korea/Russia 2x Msa,10,6.444444444
M. sinensis 'EBI-2008-32a',EBI-2008-32a,Leaf number,43.3931,141.43225,N Japan Msi,10,7.555555556
M. sinensis 'EBI-2008-51c',EBI-2008-51c,Leaf number,43.44818333,142.64555,N Japan Msi,10,7.166666667
M. sinensis 'Flamingo',UI10-00041,Leaf number,,,C Japan Msi,10,7.333333333
M. sinensis 'Gracillimus',UI10-00048,Leaf number,,,S Japan Msi,10,7.444444444
M. sinensis 'Koike-11a',Koike-11a,Leaf number,38,138.36,C Japan Msi,10,7.555555556
M. sinensis 'Koike-12b',Koike-12b,Leaf number,36.7,137.19,C Japan Msi,10,6.333333333
M. sinensis 'Koike-21c',Koike-21c,Leaf number,32.16,130.39,S Japan Msi,10,12.77777778
M. sinensis 'Miyazaki 1.5',UI11-00001.5,Leaf number,31.83,131.42,S Japan Msi,10,10.66666667
M. sinensis 'Nippon',UI10-00074,Leaf number,,,S Japan Msi,10,8.222222222
M. sinensis 'Onna-1',OKA-2010-001,Leaf number,26.44585,127.806144,SE China Msi,10,13
M. sinensis 'PMS-130',PMS-130,Leaf number,33.45548333,105.1373833,Yangtze-Qinling Msi,10,11.88888889
M. sinensis 'PMS-159',PMS-159,Leaf number,34.12948333,111.04395,Yangtze-Qinling Msi,10,9.222222222
M. sinensis 'PMS-161',PMS-161,Leaf number,35.72196667,112.3247667,Yangtze-Qinling Msi,10,9.111111111
M. sinensis 'PMS-164',PMS-164,Leaf number,37.34001667,114.2810333,Yangtze-Qinling Msi,10,8.222222222
M. sinensis 'PMS-204',PMS-204,Leaf number,31.70131667,114.8741167,Yangtze-Qinling Msi,10,8.666666667
M. sinensis 'PMS-226',PMS-226,Leaf number,26.62055,106.75145,Sichuan Msi,10,7.111111111
M. sinensis 'PMS-306',PMS-306,Leaf number,29.89176667,119.8417167,Yangtze-Qinling Msi,10,9.111111111
M. sinensis 'PMS-314',PMS-314,Leaf number,26.52793333,119.6324333,Yangtze-Qinling Msi,10,11.44444444
M. sinensis 'PMS-347',PMS-347,Leaf number,24.16798333,115.8838667,SE China Msi,10,8.777777778
M. sinensis 'PMS-359',PMS-359,Leaf number,22.91336667,112.3369667,SE China Msi,10,9.222222222
M. sinensis 'PMS-375',PMS-375,Leaf number,19.63043333,110.2908833,SE China Msi,10,11.55555556
M. sinensis 'PMS-382',PMS-382,Leaf number,18.90558333,109.5137833,SE China Msi,10,12.77777778
M. sinensis 'PMS-436',PMS-436,Leaf number,41.31701667,123.7384,"Korea, N China Msi",10,7.777777778
M. sinensis 'PMS-438',PMS-438,Leaf number,41.32883333,123.6902667,"Korea, N China Msi",10,6.111111111
M. sinensis 'Sugadaira 2.4',UI11-00002.4,Leaf number,36,138.12,C Japan Msi,10,7.222222222
M. sinensis 'Teshio 3.3',UI11-00003.3,Leaf number,44.91666667,141.9833333,N Japan Msi,10,8
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,Leaf number,40.21601,140.22625,N Japan Msi,10,8.5
M. sinensis 'Uruma-1b',OKA-2010-002,Leaf number,26.340312,127.854968,SE China Msi,10,15.77777778
M. sinensis var. condensatus 'Cabaret',UI10-00012,Leaf number,,,C Japan Msi,10,8.222222222
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,Leaf number,30.87438333,120.1449,,10,10.55555556
M. ×giganteus 'Illinois',UI10-00107,Leaf number,,,,12.5,19.77777778
M. floridulus  'NG77-022',PI417947,Leaf number,-3.55,143.6333333,SE China Msi,12.5,22.66666667
M. floridulus 'US56-0022-03',PI230189,Leaf number,-20.91,165.33,SE China Msi,12.5,14.22222222
M. sacchariflorus 'Hortico',UI10-00008,Leaf number,,,NE China/Korea/Russia 2x Msa,12.5,8.888888889
M. sinensis 'EBI-2008-32a',EBI-2008-32a,Leaf number,43.3931,141.43225,N Japan Msi,12.5,9.444444444
M. sinensis 'EBI-2008-51c',EBI-2008-51c,Leaf number,43.44818333,142.64555,N Japan Msi,12.5,6.444444444
M. sinensis 'Flamingo',UI10-00041,Leaf number,,,C Japan Msi,12.5,8.222222222
M. sinensis 'Gracillimus',UI10-00048,Leaf number,,,S Japan Msi,12.5,7.888888889
M. sinensis 'Koike-11a',Koike-11a,Leaf number,38,138.36,C Japan Msi,12.5,12.33333333
M. sinensis 'Koike-12b',Koike-12b,Leaf number,36.7,137.19,C Japan Msi,12.5,11.55555556
M. sinensis 'Koike-21c',Koike-21c,Leaf number,32.16,130.39,S Japan Msi,12.5,16.22222222
M. sinensis 'Miyazaki 1.5',UI11-00001.5,Leaf number,31.83,131.42,S Japan Msi,12.5,9.444444444
M. sinensis 'Nippon',UI10-00074,Leaf number,,,S Japan Msi,12.5,4.666666667
M. sinensis 'Onna-1',OKA-2010-001,Leaf number,26.44585,127.806144,SE China Msi,12.5,11.33333333
M. sinensis 'PMS-130',PMS-130,Leaf number,33.45548333,105.1373833,Yangtze-Qinling Msi,12.5,7.444444444
M. sinensis 'PMS-159',PMS-159,Leaf number,34.12948333,111.04395,Yangtze-Qinling Msi,12.5,6.333333333
M. sinensis 'PMS-161',PMS-161,Leaf number,35.72196667,112.3247667,Yangtze-Qinling Msi,12.5,8.111111111
M. sinensis 'PMS-164',PMS-164,Leaf number,37.34001667,114.2810333,Yangtze-Qinling Msi,12.5,5.444444444
M. sinensis 'PMS-204',PMS-204,Leaf number,31.70131667,114.8741167,Yangtze-Qinling Msi,12.5,7
M. sinensis 'PMS-226',PMS-226,Leaf number,26.62055,106.75145,Sichuan Msi,12.5,17.77777778
M. sinensis 'PMS-306',PMS-306,Leaf number,29.89176667,119.8417167,Yangtze-Qinling Msi,12.5,10.22222222
M. sinensis 'PMS-314',PMS-314,Leaf number,26.52793333,119.6324333,Yangtze-Qinling Msi,12.5,6.333333333
M. sinensis 'PMS-347',PMS-347,Leaf number,24.16798333,115.8838667,SE China Msi,12.5,14.11111111
M. sinensis 'PMS-359',PMS-359,Leaf number,22.91336667,112.3369667,SE China Msi,12.5,11.77777778
M. sinensis 'PMS-375',PMS-375,Leaf number,19.63043333,110.2908833,SE China Msi,12.5,15.55555556
M. sinensis 'PMS-382',PMS-382,Leaf number,18.90558333,109.5137833,SE China Msi,12.5,14.77777778
M. sinensis 'PMS-436',PMS-436,Leaf number,41.31701667,123.7384,"Korea, N China Msi",12.5,8
M. sinensis 'PMS-438',PMS-438,Leaf number,41.32883333,123.6902667,"Korea, N China Msi",12.5,5.333333333
M. sinensis 'Sugadaira 2.4',UI11-00002.4,Leaf number,36,138.12,C Japan Msi,12.5,10.55555556
M. sinensis 'Teshio 3.3',UI11-00003.3,Leaf number,44.91666667,141.9833333,N Japan Msi,12.5,9.666666667
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,Leaf number,40.21601,140.22625,N Japan Msi,12.5,9.888888889
M. sinensis 'Uruma-1b',OKA-2010-002,Leaf number,26.340312,127.854968,SE China Msi,12.5,13.66666667
M. sinensis var. condensatus 'Cabaret',UI10-00012,Leaf number,,,C Japan Msi,12.5,17.88888889
M. sinensis x M. sacchariflorus 2x  'PMS-300',PMS-300,Leaf number,30.87438333,120.1449,,12.5,11
M. ×giganteus 'Illinois',UI10-00107,Leaf number,,,,15,16
M. floridulus  'NG77-022',PI417947,Leaf number,-3.55,143.6333333,SE China Msi,15,18
M. floridulus 'US56-0022-03',PI230189,Leaf number,-20.91,165.33,SE China Msi,15,24.44444444
M. sacchariflorus 'Hortico',UI10-00008,Leaf number,,,NE China/Korea/Russia 2x Msa,15,12.11111111
M. sinensis 'EBI-2008-32a',EBI-2008-32a,Leaf number,43.3931,141.43225,N Japan Msi,15,17.33333333
M. sinensis 'EBI-2008-51c',EBI-2008-51c,Leaf number,43.44818333,142.64555,N Japan Msi,15,13.33333333
M. sinensis 'Flamingo',UI10-00041,Leaf number,,,C Japan Msi,15,9.111111111
M. sinensis 'Gracillimus',UI10-00048,Leaf number,,,S Japan Msi,15,10.55555556
M. sinensis 'Koike-11a',Koike-11a,Leaf number,38,138.36,C Japan Msi,15,13.66666667
M. sinensis 'Koike-12b',Koike-12b,Leaf number,36.7,137.19,C Japan Msi,15,12
M. sinensis 'Koike-21c',Koike-21c,Leaf number,32.16,130.39,S Japan Msi,15,16.77777778
M. sinensis 'Miyazaki 1.5',UI11-00001.5,Leaf number,31.83,131.42,S Japan Msi,15,9.333333333
M. sinensis 'Nippon',UI10-00074,Leaf number,,,S Japan Msi,15,9.111111111
M. sinensis 'Onna-1',OKA-2010-001,Leaf number,26.44585,127.806144,SE China Msi,15,14
M. sinensis 'PMS-130',PMS-130,Leaf number,33.45548333,105.1373833,Yangtze-Qinling Msi,15,5.444444444
M. sinensis 'PMS-159',PMS-159,Leaf number,34.12948333,111.04395,Yangtze-Qinling Msi,15,7.111111111
M. sinensis 'PMS-161',PMS-161,Leaf number,35.72196667,112.3247667,Yangtze-Qinling Msi,15,6.111111111
M. sinensis 'PMS-164',PMS-164,Leaf number,37.34001667,114.2810333,Yangtze-Qinling Msi,15,9.333333333
M. sinensis 'PMS-204',PMS-204,Leaf number,31.70131667,114.8741167,Yangtze-Qinling Msi,15,11.77777778
M. sinensis 'PMS-226',PMS-226,Leaf number,26.62055,106.75145,Sichuan Msi,15,14.22222222
M. sinensis 'PMS-306',PMS-306,Leaf number,29.89176667,119.8417167,Yangtze-Qinling Msi,15,10.33333333
M. sinensis 'PMS-314',PMS-314,Leaf number,26.52793333,119.6324333,Yangtze-Qinling Msi,15,11
M. sinensis 'PMS-347',PMS-347,Leaf number,24.16798333,115.8838667,SE China Msi,15,14.66666667
M. sinensis 'PMS-359',PMS-359,Leaf number,22.91336667,112.3369667,SE China Msi,15,18
M. sinensis 'PMS-375',PMS-375,Leaf number,19.63043333,110.2908833,SE China Msi,15,25.11111111
M. sinensis 'PMS-382',PMS-382,Leaf number,18.90558333,109.5137833,SE China Msi,15,18.88888889
M. sinensis 'PMS-436',PMS-436,Leaf number,41.31701667,123.7384,"Korea, N China Msi",15,5.555555556
M. sinensis 'PMS-438',PMS-438,Leaf number,41.32883333,123.6902667,"Korea, N China Msi",15,4.111111111
M. sinensis 'Sugadaira 2.4',UI11-00002.4,Leaf number,36,138.12,C Japan Msi,15,9.222222222
M. sinensis 'Teshio 3.3',UI11-00003.3,Leaf number,44.91666667,141.9833333,N Japan Msi,15,13.44444444
M. sinensis 'T?hoku-2010-015a',T?hoku-2010-015a,Leaf number,40.21601,140.22625,N Japan Msi,15,18.66666667
M. sinensis 'Uruma-1b',OKA-2010-002,Leaf number,26.340312,127.854968,SE China Msi,15,13.77777778
